Unnamed: 0,"Заработная плата, средняя по предприятию для профессии",Заработная плата вкакансии,"Текучесть, %","Отставание, %"
"('Агрыз', 'ДС Агрыз', 'Составитель поездов')",79432,103000.0,37.5,-22.88155339805825
"('Агрыз', 'ШЧ Ижевск', 'Электромонтёры СЦБ')",58027,74150.0,0.0,-21.74376264329063
"('Агрыз', 'ЭЧ Ижевск', 'Электромеханики (всех наименований)')",56140,63690.0,10.3,-11.85429423771393
"('Агрыз', 'ЭЧ Ижевск', 'Электромонтёры к/с')",54862,68766.66666666667,31.4,-20.22006786233641
"('Алатырь', 'ЭЧ Юдино', 'Электромеханики (всех наименований)')",48522,60760.0,0.0,-20.14154048716261
"('Алнаши', 'ИЧ Ижевск', 'Электромонтёры СЦБ')",49986,55000.0,0.0,-9.116363636363637
"('Ардатовский р-н, ст. Венец', 'Муромский ДЦС', 'Дежурные по станциям')",77494,101071.4285714286,0.0,-23.32749116607773
"('Арзамас', 'ПЧ Арзамас', 'Монтёры пути')",46287,61400.0,32.8,-24.61400651465798
"('Арзамас', 'ПЧМ Арзамас', 'Машинисты ЖДСМ и ССПС')",56081,80050.0,11.6,-29.94253591505309
"('Арзамас', 'РЦС Муром', 'Электромеханики')",53918,78000.0,22.8,-30.87435897435897
"('Арзамас', 'ШЧ Киров', 'Электромеханики СЦБ (включая старших)')",52682,78000.0,13.9,-32.45897435897436
"('Арзамас', 'ЭЧ Арзамас', 'Электромеханики (всех наименований)')",54230,78000.0,14.3,-30.47435897435897
"('Арзамасский р-н', 'ПЧ Арзамас', 'Монтёры пути')",46139,61400.0,20.2,-24.85504885993485
"('Арзамасский р-н', 'ПЧ Лукоянов', 'Монтёры пути')",44754,58650.0,22.2,-23.69309462915601
"('Арск', 'Казанский ДЦС', 'Составитель поездов')",58562,77200.0,18.4,-24.14248704663212
"('Балезинский р-н', 'Кировский ДЦС', 'Составитель поездов')",67297,83250.0,14.4,-19.16276276276276
"('Балезинский р-н', 'ПЧ Глазов', 'Монтёры пути')",50605,66160.0,11.4,-23.51118500604595
"('Балезинский р-н', 'ТЧэ Лянгасово', 'Машинисты локомотивов')",88398,98500.0,3.7,-10.25583756345178
"('Богородский р-н', 'ПЧ Лукоянов', 'Монтёры пути')",36516,44682.7,39.8,-18.27709605731076
"('Бор', 'ПЧ Горький-Казанская', 'Монтёры пути')",36516,44682.7,0.0,-18.27709605731076
"('Буинск', 'Казанский ДЦС', 'Составитель поездов')",55361,67552.9,15.5,-18.04792984461066
"('Вадский р-н', 'ПЧ Арзамас', 'Монтёры пути')",44850,58650.0,8.7,-23.52941176470588
"('Вековка', 'Муромский ДЦС', 'Дежурные по станциям')",73116,91428.57142857143,8.9,-20.02937500000001
"('Владимир', 'ВЧДэ Горький-Сортировочный', 'Осмотрщики-ремонтники вагонов (включая старших)')",59888,65275.0,28.1,-8.252776713902719
"('Владимир', 'ТЧэ Горький-Сортировочный', 'Помощники машинистов локомотивов')",59213,70000.0,53.6,-15.41
"('Владимир', 'ШЧ Владимир', 'Электромонтёры СЦБ')",47031,60000.0,37.3,-21.615
"('Владимир', 'ШЧ Киров', 'Электромеханики СЦБ (включая старших)')",69064,79500.0,13.8,-13.12704402515723
"('Владимир', 'ЭЧ Владимир', 'Электромеханики (всех наименований)')",61530,66275.0,10.5,-7.159562429271974
"('Волжский р-н, ст.  Помары (нас. п. Приволжский)', 'Казанский ДЦС', 'Дежурные по станциям')",54979,67186.4,45.5,-18.16945096031339
"('Володарский', 'ПМС Ильино', 'Монтёры пути')",55520,64445.0,24.9,-13.8490185429436
"('Воткинск', 'ИЧ Ижевск', 'Электромеханики СЦБ (включая старших)')",74661,92850.0,77.1,-19.58966074313409
"('Воткинск', 'Ижевский ДЦС', 'Дежурные по станциям')",49018,65152.0,30.4,-24.76362966601179
"('Вурнарский р-н', 'ПЧ Сергач', 'Монтёры пути')",46566,57400.0,12.0,-18.87456445993031
"('Выкса', 'ВЧДэ Горький-Сортировочный', 'Осмотрщики-ремонтники вагонов (включая старших)')",53338,69850.0,38.2,-23.63922691481747
"('Высогорский р-н', 'ПЧ Казань', 'Монтёры пути')",54789,67699.2,10.1,-19.06994469653998
"('Высогорский р-н', 'ЭЧ Юдино', 'Электромеханики (всех наименований)')",66631,80767.6,0.0,-17.50281053293648
"('Высогорский р-н, ст. Кендери (нас. п. Киндери)', 'Казанский ДЦС', 'Дежурные по станциям')",58547,73692.6,21.3,-20.55240281927901
"('Вязники', 'Нижегородский ДЦС', 'Дежурные по станциям')",49172,55380.0,15.9,-11.20982304080896
"('Вязниковский р-н, ст. Мстёра', 'Нижегородский ДЦС', 'Дежурные по станциям')",47532,55030.0,0.0,-13.62529529347629
"('Вятские поляны', 'Казанский ДЦС', 'Составитель поездов')",56640,67055.55555555556,23.9,-15.53272576636289
"('Вятские поляны', 'ПЧ Казань', 'Монтёры пути')",49314,61770.0,6.5,-20.16512870325401
"('Глазов', 'Кировский ДЦС', 'Составитель поездов')",65718,89000.0,41.1,-26.15955056179775
"('Глазов', 'ПЧ Глазов', 'Монтёры пути')",50902,71650.0,21.4,-28.95743196092114
"('Глазов', 'ПЧМ Арзамас', 'Машинисты ЖДСМ и ССПС')",65481,89000.0,9.3,-26.42584269662921
"('Гороховецкий р-н', 'ПЧ Дзержинск', 'Монтёры пути')",51371,55550.0,14.1,-7.522952295229524
"('Гусь-Хрустальный', 'ВЧДэ Горький-Сортировочный', 'Осмотрщики-ремонтники вагонов (включая старших)')",61621,73400.0,20.7,-16.04768392370572
"('Гусь-Хрустальный', 'ПЧ Муром', 'Монтёры пути')",50702,63050.0,11.1,-19.58445678033307
"('Гусь-Хрустальный', 'ШЧ Муром', 'Электромеханики СЦБ (включая старших)')",79639,97500.0,33.9,-18.31897435897436
"('Дальнеконстантиновский р-н', 'ПЧ Лукоянов', 'Монтёры пути')",41122,56150.0,21.0,-26.7640249332146
"('Дзержинск', 'ПЧ Горький-Казанская', 'Монтёры пути')",57810,72650.5,0.0,-20.42725101685467
"('Дзержинск', 'ПЧ Дзержинск', 'Монтёры пути')",57810,72650.5,28.2,-20.42725101685467
"('Заволжье', 'Нижегородский ДЦС', 'Дежурные по станциям')",67452,78250.0,0.0,-13.79936102236422
"('Зеленодольск', 'ВЧДэ Юдино', 'Осмотрщики-ремонтники вагонов (включая старших)')",62540,81736.4,19.7,-23.48574197052965
"('Зеленодольский р-н', 'ПЧ Юдино', 'Монтёры пути')",47927,53070.0,23.4,-9.690974185038629
"('Зуевка', 'ПЧ Глазов', 'Монтёры пути')",44893,50600.0,30.2,-11.27865612648221
"('Зуевский р-н', 'ПЧ Глазов', 'Монтёры пути')",49866,55833.33333333334,21.7,-10.68776119402985
"('Игринский р-н', 'Ижевский ДЦС', 'Составитель поездов')",57440,61257.42857142857,44.2,-6.231780635351516
"('Ижевск', 'ИЧ Ижевск', 'Монтёры пути')",45563,60410.0,28.3,-24.57705677867903
"('Ижевск', 'ИЧ Ижевск', 'Электромеханики СЦБ (включая старших)')",66315,89750.0,27.9,-26.11142061281337
"('Ижевск', 'ИЧ Ижевск', 'Электромонтёры СЦБ')",49986,68766.66666666667,86.4,-27.31071255453224
"('Ижевск', 'Ижевский ДЦС', 'Составитель поездов')",66197,84500.0,15.0,-21.6603550295858
"('Ижевск', 'ЭЧ Ижевск', 'Электромеханики (всех наименований)')",64043,87750.0,20.1,-27.01652421652422
"('Йошкар-Ола', 'Казанский ДЦС', 'Дежурные по станциям')",76822,105500.0,31.2,-27.18293838862559
"('Казань', 'Казанский ДЦС', 'Дежурные по станциям')",67272,82667.6,21.5,-18.62349941210342
"('Казань', 'РЦС Казань', 'Электромеханики')",65269,81767.6,11.1,-20.17742969097785
"('Кайбицкий р-н', 'ИЧ Канаш', 'Монтёры пути')",42130,50798.2,62.1,-17.06399045635475
"('Камбарский р-н', 'ПЧ Сарапул', 'Монтёры пути')",50186,62491.5,5.9,-19.69147804101358
"('Камбарский р-н', 'ШЧ Ижевск', 'Электромеханики СЦБ (включая старших)')",71245,88916.7,41.3,-19.87444428324488
"('Канаш', 'ПЧМ Арзамас', 'Машинисты ЖДСМ и ССПС')",50301,63800.0,24.1,-21.15830721003135
"('Кизнерский р-н', 'ПЧ Агрыз', 'Монтёры пути')",46398,73780.0,53.5,-37.11303876389265
"('Киров', 'ВЧДэ Лянгасово', 'Осмотрщики-ремонтники вагонов (включая старших)')",40059,53560.0,22.9,-25.20724421209858
"('Киров', 'Кировский ДЦС', 'Составитель поездов')",75749,96450.0,37.0,-21.46293416277864
"('Киров', 'ПЧ Киров', 'Монтёры пути')",59135,75282.0,15.3,-21.44868627294705
"('Киров', 'ПЧМ Арзамас', 'Машинисты ЖДСМ и ССПС')",68306,87520.0,0.0,-21.95383912248629
"('Киров', 'ШЧ Лянгасово', 'Электромеханики СЦБ (включая старших)')",72950,106675.0,9.6,-31.61471760018749
"('Киров', 'ШЧ Лянгасово', 'Электромонтёры СЦБ')",46192,55833.33333333334,19.9,-17.26805970149254
"('Киров', 'ЭЧ Киров', 'Электромеханики (всех наименований)')",67571,83175.0,18.9,-18.76044484520589
"('Кирово-Чепецкий р-н', 'ПЧ Киров', 'Монтёры пути')",56025,74400.0,28.4,-24.69758064516129
"('Кирово-Чепецкий р-н', 'ЭЧ Зуевка', 'Электромеханики (всех наименований)')",56537,75682.0,21.9,-25.29663592399778
"('Кирово-Чепецкий р-н', 'ЭЧ Зуевка', 'Электромонтёры к/с')",53835,58750.0,33.8,-8.365957446808512
"('Клепиковский р-н', 'ТЧэ Горький-Сортировочный', 'Машинисты локомотивов')",77273,92500.0,14.9,-16.46162162162162
"('Ковров', 'ПЧ Владимир', 'Монтёры пути')",60791,66450.0,13.4,-8.516177577125658
"('Козловский', 'ПЧ Юдино', 'Монтёры пути')",45310,58300.0,14.6,-22.28130360205832
"('Котельнич', 'ЭЧ Киров', 'Электромеханики (всех наименований)')",62435,74600.0,41.8,-16.30697050938338
"('Котельничский р-н', 'ПЧ Котельнич', 'Монтёры пути')",46696,60000.0,7.9,-22.17333333333333
"('Котельничский р-н, Ацвеж, Ежиха', 'Кировский ДЦС', 'Дежурные по станциям')",62437,78833.33333333333,66.9,-20.79873150105708
"('Краснобаковский р-н', 'ПЧ Шахунья', 'Монтёры пути')",50574,54375.0,6.1,-6.990344827586206
"('Краснобаковский р-н', 'ЭЧ Горький', 'Электромеханики (всех наименований)')",58232,60000.0,0.0,-2.946666666666666
"('Красноуфимск', 'Ижевский ДЦС', 'Составитель поездов')",60813,75000.0,13.1,-18.916
"('Красноуфимск', 'РЦС Ижевск', 'Электромеханики')",54829,60000.0,0.0,-8.618333333333334
"('Красноуфимск', 'ЭЧ Красноуфимск', 'Электромеханики (всех наименований)')",57234,67500.0,5.0,-15.20888888888889
"('Красноуфимск, пгт. Чёрная речка', 'ПЧ Красноуфимск', 'Монтёры пути')",47460,57500.0,11.2,-17.46086956521739
"('Кстово', 'ШЧ Горький', 'Электромеханики СЦБ (включая старших)')",87799,109000.0,7.4,-19.45045871559633
"('Кстово', 'ШЧ Горький', 'Электромонтёры СЦБ')",58357,59866.5,24.9,-2.521443545221451
"('Кстовский р-н, Ройка', 'Нижегородский ДЦС', 'Дежурные по станциям')",74107,95500.0,0.0,-22.40104712041885
"('Кукмор', 'Казанский ДЦС', 'Дежурные по станциям')",65768,83333.33333333333,36.6,-21.07839999999999
